Unique Property ID,Name of Country,Type of BHK,Size of home,Price,Expense,Status,Sale Date,Client ID,Image
1,United States,1,1500,1290901,923038,Sold,08-02-2025,7,https://images.pexels.com/photos/106399/pexels-photo-106399.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
2,Canada,3,1900,1157212,666766,Vacant,,,https://images.pexels.com/photos/1396122/pexels-photo-1396122.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
3,Brazil,3,1100,845757,261457,Sold,21-06-2027,2,https://images.pexels.com/photos/1029599/pexels-photo-1029599.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
4,United Kingdom,3,1800,1294435,414618,Sold,16-09-2025,1,https://images.pexels.com/photos/164558/pexels-photo-164558.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
5,Germany,1,950,936624,692383,Sold,05-07-2027,10,https://images.pexels.com/photos/276724/pexels-photo-276724.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
6,France,5,1850,847335,244287,Sold,23-09-2027,4,https://images.pexels.com/photos/1546166/pexels-photo-1546166.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
7,Italy,3,1750,1094315,1155017,Sold,07-12-2027,7,https://images.pexels.com/photos/1438832/pexels-photo-1438832.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
8,Spain,2,1100,958823,1078502,Vacant,,,https://images.pexels.com/photos/1396132/pexels-photo-1396132.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
9,Russia,3,1300,841269,202473,Sold,17-03-2026,9,https://images.pexels.com/photos/2501965/pexels-photo-2501965.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
10,China,1,1350,621008,776851,Sold,15-04-2025,5,https://images.pexels.com/photos/1974596/pexels-photo-1974596.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
11,Japan,2,950,954234,248212,Sold,20-10-2027,8,https://images.pexels.com/photos/2079249/pexels-photo-2079249.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
12,South Korea,5,1000,720824,1072103,Sold,28-11-2027,3,https://images.pexels.com/photos/2462015/pexels-photo-2462015.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
13,India,5,1600,887875,1040107,Sold,11-01-2026,4,https://images.pexels.com/photos/277667/pexels-photo-277667.jpeg?auto=compress&cs=tinysrgb&dpr=1&w=500
